iter,rsq,rank,noise,N,b,items,is_bibd
347,0.8899469964859942,FALSE,1.3134550431277603,366,8,16,FALSE
348,0.9781751861504157,FALSE,0.900482180994004,1521,18,18,FALSE
349,0.991809689267108,FALSE,1.2427762479055673,1530,20,11,FALSE
350,0.9710155144551198,TRUE,0.6195179086644202,1256,14,10,FALSE
351,0.9939227258687654,TRUE,0.8502436999697238,1415,19,10,FALSE
352,0.9034853349079058,FALSE,0.6211871663108468,608,8,17,FALSE
353,0.9873544346559927,FALSE,1.1195264866109937,627,16,15,FALSE
354,0.9790748227101999,TRUE,1.1274963868781924,620,16,14,FALSE
355,0.9939935254811182,TRUE,0.9165049027651548,439,18,8,FALSE
356,0.9804482341114005,FALSE,0.7728347491938621,1570,18,17,FALSE
357,0.9077359900551285,FALSE,0.5304342098534107,1728,13,15,FALSE
358,0.9846983952665135,FALSE,1.0083110856357962,1327,20,13,FALSE
359,0.9852502621167655,TRUE,0.5611306224018335,1568,9,10,FALSE
360,0.9257522536817571,FALSE,0.8951507713645697,805,9,13,FALSE
361,0.9486131082760719,FALSE,0.5440554316155612,1214,11,10,FALSE
362,0.7592409797326184,FALSE,1.2832999534439296,728,8,19,FALSE
363,0.9991293891826915,FALSE,1.4904133316595107,700,14,8,TRUE
364,0.9695106018897078,FALSE,1.060562000144273,573,14,15,FALSE
365,0.9396058802943833,FALSE,1.3906217457260936,507,10,15,FALSE
366,0.8833402073856026,FALSE,1.1241496249567717,1591,8,19,FALSE
367,0.9766256611301558,FALSE,0.5046053335536271,1682,20,10,FALSE
368,0.9788424432162112,FALSE,0.6310494060162455,1619,10,11,FALSE
369,0.9860157261349309,FALSE,1.2701190519146621,1883,9,9,FALSE
370,0.9955518369497737,TRUE,1.1211356490384787,1406,15,9,FALSE
371,0.9720120284829344,FALSE,0.617530197603628,1775,20,17,FALSE
372,0.9896100770166905,FALSE,1.3714737936388701,1412,16,13,FALSE
373,0.9950932048573566,FALSE,0.7758682132698596,928,15,13,FALSE
374,0.9631137802837477,FALSE,1.0055785430595279,1400,11,19,FALSE
375,0.8979502194469582,FALSE,0.5707060119602829,1378,16,20,FALSE
376,0.9830208223321526,FALSE,0.838358816690743,1066,19,14,FALSE
377,0.9489476422693495,FALSE,0.6793745358008891,930,9,13,FALSE
378,0.9899640216624924,FALSE,1.2348683190066367,550,16,16,FALSE
379,0.9439869787170431,FALSE,0.7321281633339822,1147,11,18,FALSE
380,0.9528813662804622,FALSE,0.916644188342616,1755,11,17,FALSE
381,0.9419998239048717,FALSE,0.947199692716822,545,12,18,FALSE
382,0.9878474428047447,TRUE,0.8763587025459856,403,15,10,TRUE
