iter,rsq,rank,noise,N,b,k,pairs_avg,pairs_var,items_var,is_bibd
185,0.956301232582885,FALSE,0.5121012628078461,922,16,5,1,0.15318015318015318,0.14102564102564102,FALSE
186,0.9926902062327871,FALSE,0.9804661720991135,1694,10,5,0.9743589743589743,0.29894736842105263,0.14102564102564102,FALSE
187,0.9250412762655142,FALSE,1.338390133343637,1516,13,3,0.5,0,0,FALSE
188,0.9798377819980478,FALSE,0.6074539988767356,1531,11,5,0.9871794871794872,0.3007518796992481,0.19230769230769232,FALSE
189,0.9797013800693841,FALSE,0.9308582141529769,1648,15,5,1,0.2017982017982018,0.19230769230769232,FALSE
190,0.97656161243077,TRUE,0.7499110149219632,1085,16,5,1,0.17915417915417917,0.14102564102564102,FALSE
191,0.8644377952350966,FALSE,0.5539732209872454,1877,12,3,0.46153846153846156,0,0.19230769230769232,FALSE
192,0.9815583318927009,FALSE,0.8302720231004059,632,15,3,0.5769230769230769,0,0.2692307692307692,FALSE
193,0.9956935712019155,TRUE,1.2700176392681897,503,13,4,1,0,0,TRUE
194,0.9795350447120209,FALSE,0.6929106994066387,1300,16,5,1,0.15318015318015318,0.14102564102564102,FALSE
195,0.992107250402903,FALSE,0.9360006244387478,818,16,5,1,0.17915417915417917,0.14102564102564102,FALSE
196,0.9981132568743782,TRUE,1.287677260581404,909,13,4,1,0,0,TRUE
197,0.9737759530511677,FALSE,0.9059904203750193,1908,11,4,0.8205128205128205,0.030753968253968252,0.2564102564102564,FALSE
198,0.9888776875831774,FALSE,1.0832548330072314,879,10,5,0.9743589743589743,0.29894736842105263,0.14102564102564102,FALSE
199,0.97674050790422,FALSE,0.5638386809732765,1939,13,4,1,0,0,TRUE
200,0.9805549776876756,FALSE,0.5107287736609578,446,12,4,0.8974358974358975,0.028157349896480333,0.23076923076923078,FALSE
201,0.989207358498149,FALSE,0.9532593104522675,1021,13,5,1,0.22510822510822512,0,FALSE
202,0.9905851849340644,FALSE,1.0124173562508076,419,14,4,1,0.07192807192807193,0.23076923076923078,FALSE
203,0.9526062384163696,FALSE,0.9502707086503506,1415,15,3,0.5769230769230769,0,0.2692307692307692,FALSE
204,0.9676981903360191,FALSE,0.9380513916257769,1329,13,5,1,0.22510822510822512,0,FALSE
205,0.9865828105691076,FALSE,0.9293131050653756,1158,11,4,0.8333333333333334,0.015384615384615385,0.2564102564102564,FALSE
206,0.9948958026636909,FALSE,1.029322816291824,638,14,4,1,0.07192807192807193,0.23076923076923078,FALSE
207,0.9637183940292798,FALSE,1.2063639336265624,1469,16,3,0.6153846153846154,0,0.23076923076923078,FALSE
208,0.9917684458352993,FALSE,0.8006029229145497,318,12,5,1,0.3036963036963037,0.2564102564102564,FALSE
209,0.961037771078249,FALSE,1.248706360347569,796,10,3,0.38461538461538464,0,0.23076923076923078,FALSE
210,0.911111248004907,FALSE,1.3738671985920519,612,12,3,0.46153846153846156,0,0.19230769230769232,FALSE
211,0.9762151999314173,FALSE,1.0064065158367157,1157,15,3,0.5769230769230769,0,0.2692307692307692,FALSE
212,0.9957781814097827,FALSE,0.8384955353103578,1109,14,4,1,0.07192807192807193,0.23076923076923078,FALSE
213,0.9763908518124783,FALSE,0.7520576675888151,975,14,5,1,0.26906426906426906,0.2564102564102564,FALSE
214,0.9790492754001067,FALSE,1.2934083454310894,1477,13,5,1,0.22510822510822512,0,FALSE
215,0.9973700507225641,FALSE,1.015110193984583,1226,16,5,1,0.15318015318015318,0.14102564102564102,FALSE
216,0.9971976875890148,FALSE,0.9046586656477302,1123,13,4,1,0,0,TRUE
217,0.9757838120860133,FALSE,0.7326311799697578,894,15,5,1,0.2017982017982018,0.19230769230769232,FALSE
218,0.9019564314040662,FALSE,1.0194786067586392,1215,11,3,0.4230769230769231,0,0.2692307692307692,FALSE
219,0.9828022068835259,FALSE,1.2965181320905685,1347,10,4,0.7692307692307693,0,0.07692307692307693,FALSE
220,0.9852308820083503,FALSE,1.4505388347897679,1131,11,4,0.8333333333333334,0.015384615384615385,0.2564102564102564,FALSE
221,0.9009744491008741,FALSE,1.4202687351498753,754,10,3,0.38461538461538464,0,0.23076923076923078,FALSE
222,0.9645115055280173,FALSE,1.1142773169558495,812,14,3,0.5384615384615384,0,0.19230769230769232,FALSE
223,0.9910038613536593,FALSE,1.269429950043559,972,13,5,1,0.22510822510822512,0,FALSE
224,0.9570484341783179,FALSE,1.4453881608787924,1082,15,3,0.5769230769230769,0,0.2692307692307692,FALSE
225,0.9781685344538743,FALSE,0.5761395883746445,358,13,5,1,0.22510822510822512,0,FALSE
226,0.9944769573181812,FALSE,1.4518221553880721,1706,12,4,0.8974358974358975,0.028157349896480333,0.23076923076923078,FALSE
227,0.9538003512050939,FALSE,1.3025955858174711,1397,15,3,0.5769230769230769,0,0.2692307692307692,FALSE
228,0.9825372616342657,FALSE,0.8514366410672665,1528,16,4,1,0.1798201798201798,0.07692307692307693,FALSE
229,0.995597895920896,TRUE,1.4626698228530586,1172,14,5,1,0.26906426906426906,0.2564102564102564,FALSE
230,0.9829545684093438,FALSE,0.6179603131022304,1005,13,5,1,0.22510822510822512,0,FALSE
231,0.9779519699899925,FALSE,0.791471857810393,1930,12,4,0.8846153846153846,0.04219948849104859,0.23076923076923078,FALSE
